Artist,Album,Song,Year
Matthew Van Der Want,Turn On You,Turn On you,1997
MaxNormal.TV,Good Morning South-Africa,Tik Tik Tik,2008
Mean Mr Mustard,Mean Mr Mustard,Don't Shadow My Heart,2012
Mean Mr Mustard,Secret Places,Secret Places,2001
Medicine Boy,More Knives,The Strange in Me,2014
Medicine Boy,Kinda Like Electricity,E.V.I.L,2016
Medicine Dolls,A Good Chance of Bad Weather/Lost Love Lullabies,,2018
Mel Botes,Nice 2 Meet U,Photographs From Darfur,2010
Mi Casa,Su Casa,Turn You On,2013
Mind Assault,Metal Rites,Die Rejected,2011
Miriam Makeba,Pata Pata ,Pata Pata,1967
Miriam Makeba,Miriam Makeba,The Click Song,1960
Monark,Monark,Show Me The Love,2017
Monark,Negatives,Hush,2015
Moodphase5ive,Steady On,Miles,2000
Moodphase5ive,Super Deluxe Mode,Rhymedrop,2002
Moses Metro Man,Konstellasies,Samurai,2011
Moses Metro Man,Spektrum,Mooirivier,2016
Mr Barleycorn,Stendhal Syndrome,Run With Scissors,2008
Mr Cat & The Jackal,Sins and Siren Songs,The Always Wants to Dance,2011
Mr Cat & The Jackal,Themes & Variations,Fresh Meat,2007
Mr Sakitumi,Secret Asian Man,Secret Asian Man,2011
Naked,Bone Needs Flesh,,1998
Nakhane Toure,The Laughing Son,The Plague,2015
Narrow ,Travellers,Lonely-Lonely,2004
Narrow ,Self-Conscious,The Banded,2005
Narrow ,You Don't Get To Quit,You Don't Get To Quit,2010
Native Young,Kings,Kings,2016
New Academics,Clairvoyant,Clairvoyant,2017
New Holland,Exploded Views,Freedom,2009
Newtown Knife Gang,Newtown Knife Gang,Read Between The Lies,2011
Nibs van der Spuy,Beautiful Feet,Anna Rosa,2006
Niemand,Reborn,Simple Truth,2005
Nine,Nine,Last Tear,1996??
No Friends of Harry,Fly By Night,Competion Rules,1998
Noa Noa,World of Men,,1996
Nomadic Orchestra,Love At Last,Hafro,2016
